2025-09-27 12:00:50 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:52 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:54 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:56 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:58 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:00 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:02 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:04 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:06 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:08 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:11 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:13 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:15 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:17 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:19 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:21 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:23 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:26 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:28 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:30 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:32 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:34 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:36 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:39 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:41 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:43 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:45 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:47 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:49 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:51 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:54 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:56 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:01:58 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:00 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:02 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:04 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:07 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:09 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:11 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:13 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:15 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:17 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:19 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:22 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:24 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:26 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:28 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:30 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:02:32 - ui.charts_window - INFO - Charts data refreshed from Tree view
